,Incident Hour of Day,6:00pm-8:59pm,9:00pm-11:59pm,12:00am-2:59am,3:00am-5:59am,6:00am-8:59am,9:00am-11:59am,12:00n-2:59pm,3:00pm-5:59pm
,Offense Type,Crimes Against Person,Crimes Against Person,Crimes Against Person,Crimes Against Person,Crimes Against Person,Crimes Against Person,Crimes Against Person,Crimes Against Person
Location Type,Incident Date,,,,,,,,
Commercial,2021,21,17,15,4,6,23,29,28
,2020,25,13,8,3,4,19,13,16
,2019,41,17,22,4,9,40,44,42
,2018,37,19,39,4,18,22,34,27
,2017,21,13,27,7,6,22,18,15
Government/Public Building and other,2021,7,1,1,,3,4,4,4
,2020,4,6,3,,,9,4,4
,2019,5,3,,1,2,7,14,13
,2018,6,3,1,1,5,11,5,12
,2017,7,1,1,2,5,11,19,5
Road/Parking/Camps,2021,67,40,41,11,24,28,49,60
,2020,58,37,21,11,10,34,48,52
,2019,33,31,29,11,12,43,48,49
,2018,33,24,24,12,20,30,37,40
,2017,46,33,43,17,19,31,46,45
