"Number of Victims by Age by Gender by County"
"Current date: 2/19/2023 2:50:17 PM (Eastern Standard Time)"
"Measures: Number of Victims"
"Data source: MA_SS, Victim Data"
"Jurisdiction by Geography: Worcester"
,"Victim Gender","Female",,,,,,,,"Male",,,,,,,,
,"Incident Hour of Day","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm","6:00pm-8:59pm","9:00pm-11:59pm","12:00am-2:59am","3:00am-5:59am","6:00am-8:59am","9:00am-11:59am","12:00n-2:59pm","3:00pm-5:59pm",
"Location Type","Incident Date"
"Air/Bus/Train Terminal","2021","2","","1","1","1","3","2","4","6","2","1","4","","6","3","3"
,"2020","2","","","","","3","2","1","4","1","","","1","2","2","2"
,"2019","5","1","1","","2","4","4","7","6","1","1","1","3","14","14","7"
,"2018","3","","","","2","2","4","5","5","4","2","","2","2","2","7"
,"2017","1","2","1","","1","5","2","3","3","","2","","","4","8","5"
"Bank/Savings and Loan","2021","4","1","","","5","9","20","9","2","1","","1","3","14","9","12"
,"2020","8","1","1","","6","16","19","14","6","1","","1","1","17","14","14"
,"2019","9","","","","4","32","31","24","5","2","","","3","27","33","20"
,"2018","16","2","","","5","41","41","31","17","1","2","1","7","33","43","27"
,"2017","11","4","","","9","27","30","30","2","","2","","3","32","14","18"
"Bar/Nightclub","2021","1","6","9","","","3","4","4","4","8","24","1","","3","5","6"
,"2020","3","2","2","","","1","","2","9","1","9","","","4","","2"
,"2019","3","7","18","1","","7","3","7","2","6","34","1","","1","4","6"
,"2018","6","6","26","2","1","3","1","2","5","9","40","","1","4","5","5"
,"2017","1","4","28","1","","3","3","3","2","9","37","3","1","6","3","4"
"Commercial/Office Building","2021","5","","","","2","5","4","8","10","2","4","2","10","10","13","4"
,"2020","7","2","","","2","14","16","8","9","4","7","2","6","21","31","15"
,"2019","10","2","4","","9","16","19","31","16","6","4","8","10","29","31","27"
,"2018","23","6","5","2","9","30","34","23","26","16","4","5","20","49","47","33"
,"2017","6","4","1","2","6","23","23","19","13","5","9","3","21","33","27","29"
"Convenience Store","2021","12","6","","4","3","15","8","12","9","13","6","5","10","24","8","9"
,"2020","6","8","3","3","9","17","16","5","16","11","18","8","6","19","13","9"
,"2019","13","8","6","5","3","15","8","20","11","9","14","6","11","14","10","18"
,"2018","20","7","10","4","12","10","23","12","17","8","18","8","5","14","16","20"
,"2017","10","6","7","6","4","9","11","18","8","10","14","19","5","16","4","21"
"Department/Discount Store","2021","14","2","","","4","9","11","12","16","2","1","1","7","10","15","11"
,"2020","7","1","","","4","10","13","14","5","","","","2","8","8","8"
,"2019","12","10","","","3","17","21","15","13","3","","","4","16","6","15"
,"2018","19","8","1","","2","17","27","16","10","1","1","","3","14","13","9"
,"2017","17","3","","1","3","11","24","17","11","6","","","3","11","16","10"
"Drug Store/Doctor’s Office/Hospital","2021","4","","1","1","1","7","8","9","3","4","3","1","2","13","11","7"
,"2020","6","3","","","2","10","8","4","7","3","1","1","3","1","8","12"
,"2019","14","3","1","","3","19","15","11","18","4","","4","2","9","16","8"
,"2018","6","4","1","2","4","9","12","7","4","2","2","1","2","10","9","10"
,"2017","7","4","1","1","2","10","14","7","4","4","2","","1","3","4","6"
"Grocery/Supermarket","2021","5","","","","","2","7","7","2","","","","","3","3","4"
,"2020","6","1","","","1","5","5","9","5","4","","1","1","5","7","5"
,"2019","8","","1","1","1","7","11","7","6","4","","","1","6","9","8"
,"2018","8","2","","1","","4","12","5","3","2","","","","5","11","12"
,"2017","11","1","1","","2","8","10","12","10","3","3","2","1","","6","9"
"Hotel/Motel/Etc.","2021","1","2","1","2","4","2","2","3","","1","4","2","6","3","1","2"
,"2020","3","6","4","1","3","3","3","1","1","4","3","1","8","6","5","1"
,"2019","6","","","2","2","2","4","1","3","4","","","2","1","3","1"
,"2018","6","2","1","1","3","2","2","3","5","","2","3","","1","2","2"
,"2017","","1","1","","2","2","3","","","1","","","1","1","1",""
"Liquor Store","2021","","","","","","","1","1","4","4","","","2","3","6","3"
,"2020","3","","1","","","1","2","2","7","2","","","","","1","7"
,"2019","1","2","1","1","2","","","1","5","1","1","1","2","3","","6"
,"2018","3","4","","","","1","2","3","4","2","","1","1","2","2","4"
,"2017","3","1","","","","2","2","1","8","5","","1","","3","","2"
"Rental Storage Facility","2021","","1","1","","","7","","2","1","","","","","12","5","1"
,"2020","","","","","1","1","1","2","","","","","","","1",""
,"2019","","","","","33","1","2","","","","","","28","1","6",""
,"2018","1","","","","","2","1","1","","","","","","1","","1"
,"2017","1","","","","","","1","","1","","","","","1","1",""
"Restaurant","2021","13","7","3","1","5","9","10","7","8","4","4","6","4","6","11","8"
,"2020","10","5","3","1","5","7","6","5","25","8","5","","4","6","15","11"
,"2019","13","5","3","","5","14","20","23","16","19","6","3","7","15","16","15"
,"2018","10","4","11","1","5","12","9","12","15","5","12","2","2","10","14","8"
,"2017","14","8","7","3","4","11","14","8","9","10","15","3","3","9","10","8"
"Service/Gas Station","2021","2","4","","2","3","6","3","","2","5","1","3","4","9","7","8"
,"2020","6","5","2","","7","4","2","2","6","4","7","3","5","12","2","8"
,"2019","1","","1","2","1","2","6","4","7","3","2","4","7","8","5","10"
,"2018","6","6","5","4","2","9","4","6","8","8","12","1","6","17","11","7"
,"2017","8","4","3","1","3","3","3","3","6","4","6","2","4","7","8","8"
"Specialty Store","2021","2","1","1","","","5","6","5","4","3","1","","1","8","5","8"
,"2020","5","","","","1","","6","6","2","1","1","","1","6","10","5"
,"2019","2","2","","1","1","7","10","2","6","3","1","2","7","7","8","4"
,"2018","3","","1","","2","4","3","5","5","2","1","","5","5","6","5"
,"2017","","2","2","","2","9","5","5","4","1","3","","1","11","8","8"
"ATM Separate from Bank","2021","1","1","","1","2","2","","1","","","","","1","3","1","3"
,"2020","","","","","1","","4","5","2","1","","","1","4","2","4"
,"2019","2","2","","","","2","2","4","1","","","","2","1","4","2"
